zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
90801,PO BOX,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.18,1999
90802,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,"310, 424, 562",,US,33.75,-118.2,29520
90803,STANDARD,0,Long Beach,,"Belmont Shore, Naples",CA,Los Angeles County,America/Los_Angeles,562,,US,33.75,-118.13,26450
90804,STANDARD,0,Long Beach,,East Long Beach,CA,Los Angeles County,America/Los_Angeles,562,,US,33.78,-118.14,31260
90805,STANDARD,0,Long Beach,Lakewood,North Long Beach,CA,Los Angeles County,America/Los_Angeles,"310, 424, 562",,US,33.86,-118.18,82700
90806,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.81,-118.18,35600
90807,STANDARD,0,Long Beach,Signal Hill,Bixby Knolls,CA,Los Angeles County,America/Los_Angeles,562,,US,33.83,-118.18,29240
90808,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.82,-118.11,37310
90809,PO BOX,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.76,-118.12,824
90810,STANDARD,0,Long Beach,Carson,"Cabrillo, Dominguez",CA,Los Angeles County,America/Los_Angeles,"310, 424, 562",,US,33.81,-118.22,33640
90813,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,"310, 424, 562",,US,33.78,-118.18,42660
90814,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.14,16000
90815,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.79,-118.12,35510
90822,STANDARD,0,Long Beach,,Long Beach Shared Firm,CA,Los Angeles County,America/Los_Angeles,562,,US,33.78,-118.12,0
90831,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.2,0
90832,PO BOX,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.76,-118.19,191
90833,STANDARD,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,424,,US,33.76,-118.2,0
90834,STANDARD,1,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,"424, 562",,US,33.76,-118.2,0
90835,STANDARD,1,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.76,-118.2,0
90840,UNIQUE,0,Long Beach,,"C S U Long Beach, Ca State Univ Long Beach",CA,Los Angeles County,America/Los_Angeles,562,,US,33.78,-118.12,0
90842,UNIQUE,0,Long Beach,,Department Of Gas & Water,CA,Los Angeles County,America/Los_Angeles,562,,US,33.81,-118.16,0
90844,UNIQUE,0,Long Beach,,Press Telegram,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.19,0
90845,UNIQUE,1,Long Beach,,Buffums,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.18,0
90846,UNIQUE,0,Long Beach,,Boeing,CA,Los Angeles County,America/Los_Angeles,562,,US,33.82,-118.11,0
90847,UNIQUE,0,Long Beach,,Aarp,CA,Los Angeles County,America/Los_Angeles,562,,US,33.83,-118.19,0
90848,UNIQUE,0,Long Beach,,"Aarp, Aarp Pharmacy",CA,Los Angeles County,America/Los_Angeles,562,,US,33.83,-118.18,0
90853,PO BOX,0,Long Beach,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.75,-118.13,480
90888,UNIQUE,1,Long Beach,,"Far, Foundation Airborne Relief",CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.18,0
90895,UNIQUE,0,Carson,Long Beach,Lakeshore Learning,CA,Los Angeles County,America/Los_Angeles,310,,US,33.83,-118.21,0
90899,UNIQUE,1,Long Beach,,La International Service Ctr,CA,Los Angeles County,America/Los_Angeles,562,,US,33.77,-118.19,0
91006,STANDARD,0,Arcadia,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.13,-118.02,29940
91007,STANDARD,0,Arcadia,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.12,-118.05,29030
91008,STANDARD,0,Duarte,Bradbury,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.15,-117.97,950
91009,PO BOX,0,Duarte,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.13,-117.96,493
91010,STANDARD,0,Duarte,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.14,-117.96,23190
91016,STANDARD,0,Monrovia,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.15,-117.99,36270
91017,PO BOX,0,Monrovia,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.13,-117.98,1147
91024,STANDARD,0,Sierra Madre,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.17,-118.05,10150
91025,PO BOX,0,Sierra Madre,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.16,-118.05,488
91030,STANDARD,0,South Pasadena,S Pasadena,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.11,-118.15,23890
91031,PO BOX,0,South Pasadena,S Pasadena,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.11,-118.15,914
91066,PO BOX,0,Arcadia,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.02,793
91077,PO BOX,0,Arcadia,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.12,-118.05,474
91101,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.15,-118.14,15230
91102,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.14,765
91103,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.17,-118.17,22270
91104,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.16,-118.12,29990
91105,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626, 747, 818",,US,34.14,-118.16,11340
91106,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.13,19190
91107,STANDARD,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,"626, 747, 818",,US,34.16,-118.08,29720
91108,STANDARD,0,San Marino,Pasadena,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.12,-118.11,12200
91109,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.16,-118.16,1894
91110,UNIQUE,0,Pasadena,,Shared Firm Zip Code,CA,Los Angeles County,America/Los_Angeles,626,,US,34.15,-118.15,0
91114,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.16,-118.13,497
91115,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.13,-118.15,334
91116,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.13,391
91117,PO BOX,0,Pasadena,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.14,-118.09,466
